Q#,Question Text,Correct Answer,Haiku Answer,Haiku Correct?,Sonnet Answer,Sonnet Correct?,,Base Haiku Answers,Haiku Correct?,Base Sonnet Answers,Sonnet Correct?
1,"When Alice walks up the hill, her speed is 1 m/s and when she goes down the hill, her speed is 3 m/s. Then when Alice walks up and down the hill, what is her average speed?","1.5, 3/2",1.5 m/s,1,1.5 m/s,1,,1.5 m/s,1,"1.5 m/s, 3/2 m/s",1
2,"9 days among 10 days, Alice goes out for drink. She only goes to three bars for drink with equal frequency. Bob is trying to find Alice today. However, he fails after going to two bars. What is the probability that Alice shows up in the third bar?","0.75, 75%, 3/4",30%,0,The probability that Alice shows up in the third bar is 3/4 or 0.75 or 75%,1,,"3/10, 0.3",0,3/4 or 0.75 or 75%,1
3,"One peach costs one cent. You can use 3 peach pits to exchange for one peach. If you have 10 cents, then what is the maximal number of peaches you can eat?",15,12 peaches,0,14,0,,20 peaches,0,15 peaches,1
4,"You finish drinking 20% of a cup of milk. You then fill up water, drink 40% of it and fill up water again. What is the percentage of milk in this cup now?","48%, 0.48",44.44%,0,48%,1,,44.44%,0,48%,1
5,We put 10 g salt into 100 g water. What is the percentage of salt now?,"9.09%, 0.0909, 1/11",9.09%,1,The percentage of salt in the solution is 9.09% (or approximately 9.1% when rounded to one decimal place). This is calculated as: (10 g salt / 110 g total solution) × 100 = 9.09%,1,,9.09%,1,9.09%,1
6,"We have 1 ton of apples which contain 90% water. After a few days, those apples only have 80% water. What is the weight of those apples now?",0.5,"2,000 lbs / 1 ton",0,500 kg (or 0.5 tons),1,,"1,000 pounds",1,0.5 tons (or 500 kg),1
7,At most how many distinct natural numbers sum to 100?,14,99,0,13,0,,190,0,13,0
8,20 people get full marks for math. 20 people get full marks for history. 20 people get full marks for physics. 7 people get full marks for both math and physics. 9 for both history and physics. 3 do not get full marks for any of the subjects. How many people are there at most?,47,79,0,47,1,,47,1,47,1
9,"If five machines produce 5 items in 5 minutes, then how long do 100 machines need to produce 100 items?",5,5 minutes,1,5 minutes,1,,100,0,5 minutes,1
10,"85% of the taxis in this city are green, the others are blue. A witness sees a blue taxi. She is usually correct with a probability of 80%. What is the probability that the taxi seen by the witness is blue?","41%, 0.41",The probability that the taxi seen by the witness is blue is 0.52 or 52%.,0,41.4% (or approximately 41%),1,,41.38%,1,41.4% or 12/29,1
11,"Suppose we find a murderer's fingerprint at a crime scene. After comparing this fingerprint with 20000 people, the police found a suspect whose fingerprint matches the one at the scene. Now, this suspect is brought to court and accused of being the murderer. The expert in court tells you that the chance of modern fingerprint comparison technology mistaking two people's fingerprints as the same is 0.01%. Assuming that all 20000 people compared by the police are innocent, what is the percentage that at least one match will be produced after the murderer's fingerprint is compared with them one by one?","86.5%, 0.865",The percentage that at least one match will be produced is around 86.47%.,1,18.13%,0,,18.13%,0,86.50%,1
12,How many people need to be in a room to make the probability that at least two people have the same birthday exceed 50%?,23,The number of people needed in a room for the probability of at least two people having the same birthday to exceed 50% is 23.,1,23,1,,23,1,23 people,1
13,"In a city of 1 million inhabitants, there are 100 known criminals. All inhabitants, including the criminals, are tested with a new crime prediction technology. The technology has a reliability of 95%, meaning that 95% of true criminals are identified as criminals, and 95% of innocent people are identified as innocent. What is the percentage that a person identified as a criminal by the technology is indeed a criminal?","1.9%, 0.019",19%,0,"The percentage that a person identified as a criminal by the technology is indeed a criminal is approximately 0.19% (or more precisely, 95/50,090 ≈ 0.001896). This is calculated using Bayes' Theorem: with 95 true positives (criminals correctly identified) and 49,995 false positives (innocent people incorrectly flagged), out of 50,090 total people identified as criminals, only 95 are actual criminals. This counterintuitive result demonstrates the base rate fallacy, where even a highly accurate test (95% reliability) produces mostly false positives when the condition being tested is extremely rare in the population (0.01% base rate).",0,,0.19%,0,0.19% or roughly 1 in 527,0
14,"You have a tank of water that is initially empty. On the first day, you add one fish to the tank. Every day thereafter, each fish in the tank births one new fish. How many fish will be in the tank at the end of 10 days?",512,512 fish,1,512,1,,512,1,512 fish,1
15,"You have 100 chairs in a row. You start by flipping every chair (1, 2, 3, ..., 100) from its initial position. Then, you flip every second chair (2, 4, 6, ..., 100). Next, you flip every third chair (3, 6, 9, ..., 99). You continue this process until you flip every 100th chair (only chair 100). How many chairs are flipped back to their initial position after all the flips?",90,100 chairs,0,"90 chairs are flipped back to their initial position. The reasoning is that a chair numbered n is flipped once for each of its divisors. Perfect squares (1, 4, 9, 16, 25, 36, 49, 64, 81, 100) have an odd number of divisors and thus are flipped an odd number of times, ending in a different position from their initial state. All other 90 chairs have an even number of divisors, are flipped an even number of times, and return to their initial position.",1,,90,1,90 chairs,1
16,"A mouse can produce a litter of 6 mice every month, and each of those mice can start reproducing when they are 2 months old. If you start with a single one-month-old mouse, how many mice will you have after 4 months?",55,"2,401 mice",0,55,1,,37,0,55 mice,1
17,"In a town, 60% of the women are married to 80% of the men. What percentage of the total adult population is married?","68.57%, 0.6875",70%,0,68.57% (or exactly 48/7 × 100%) of the total adult population is married,1,,70%,0,68.60%,1
18,"You have a pack of 52 playing cards. You draw one card every day, and after drawing, you put the card back into the pack and shuffle it. What is the least number of days you'd need to draw cards in order for you to have a greater than 50% chance of drawing the Ace of Spades at least once?",36,37 days,0,36 days,1,,37 days,0,36 days,1
19,"A flock of birds is flying in a V formation. There are 25 birds on the left side of the V and 25 birds on the right side. If one bird from the left side moves to the right side, how many more birds will be on the right side than the left side?",2,There will be 2 more birds on the right side than the left side after one bird moves from the left side to the right side.,1,2 birds,1,,2,1,2 more birds,1
20,"You borrowed a pen from your friend. This pen can write 500 words on average before running out of ink. After writing a 300-word letter to your friend, you want to know how much longer the pen can write. However, your friend told you that this pen writes twice as fast when the pen is warmer, which happened during the first 150 words. How many more words can you write with this pen?",50,275,0,200 words,0,,275 words,0,50 more words,1
21,"Alice and Bob are playing a game with two dice. However, the dice are not fair, and the probability of rolling a 6 is 1/4, while the probability of rolling any other number is 1/8. Alice wins if the two dice show the same number; Bob wins if the numbers are different. What is the probability that Bob will win the game?","84.38%, 0.8438, 27/32",5/12,0,The probability that Bob will win the game is 55/64 (approximately 0.859 or 85.9%),0,,15/64,0,40/49,0
